,Gene1,Gene2,ReversalRatio,ImportanceScore
67,PASD1,GABRA2,0.7880952380952381,0.896551724137931
68,FAIM2,ZBTB42,0.7880952380952381,0.896551724137931
69,SLC26A4,GOLGA2,0.7928571428571429,0.896551724137931
70,ALDOB,ERLIN2,0.7880952380952381,0.896551724137931
71,FAIM2,BTBD2,0.7928571428571429,0.896551724137931
72,POLR1H,TMEM37,0.7952380952380953,0.896551724137931
73,ELAC1,TMEM37,0.7952380952380953,0.896551724137931
74,SH3GL1,ASCL2,0.7952380952380953,0.896551724137931
75,SLC26A4,BCL9,0.7952380952380953,0.896551724137931
76,ZSWIM5,ASCL2,0.7952380952380953,0.896551724137931
77,SLC26A4,RBKS,0.7952380952380953,0.896551724137931
78,MYT1,ARG2,0.7952380952380953,0.896551724137931
79,FAIM2,MPV17L2,0.7952380952380953,0.896551724137931
80,ELFN1,HOXB5,0.7952380952380953,0.896551724137931
81,GAP43,TMEM37,0.7952380952380953,0.896551724137931
82,RAET1E,GABRA2,0.7952380952380953,0.896551724137931
83,SLC26A4,ZCCHC18,0.7976190476190477,0.896551724137931
84,ELFN1,FBXL18,0.7976190476190477,0.896551724137931
85,ELFN1,TACC3,0.7976190476190477,0.896551724137931
86,LOC646903,SLC2A2,0.7976190476190477,0.896551724137931
87,ELFN1,EFCAB11,0.7976190476190477,0.896551724137931
88,NENF,PPP1R1A,0.7976190476190477,0.896551724137931
89,SLC26A4,HS6ST2,0.7976190476190477,0.896551724137931
90,ELFN1,RPS6KA4,0.7976190476190477,0.896551724137931
91,TASP1,TMEM37,0.7976190476190477,0.896551724137931
92,TMCO5A,GABRA2,0.7976190476190477,0.896551724137931
93,TMC7,GABRA2,0.7976190476190477,0.896551724137931
94,ELFN1,SEMA3A,0.7976190476190477,0.896551724137931
95,HFM1,SLC2A2,0.7976190476190477,0.896551724137931
96,SLC12A5,SLC2A2,0.8,0.896551724137931
97,ALDOB,SELENOS,0.7928571428571429,0.896551724137931
98,USP3-AS1,SLC2A2,0.7952380952380953,0.896551724137931
99,SLC26A4,PIR,0.7976190476190477,0.896551724137931
100,HIVEP3,TMEM37,0.7952380952380953,0.896551724137931
101,ALDOB,SRRD,0.7928571428571429,0.896551724137931
102,ALDOB,ZCCHC17,0.7928571428571429,0.896551724137931
103,PCOLCE2,ITGA8,0.7952380952380953,0.896551724137931
104,GLRX2,TMEM37,0.7928571428571429,0.896551724137931
105,TRIM56,ASCL2,0.7928571428571429,0.896551724137931
106,VPS9D1,ASCL2,0.7928571428571429,0.896551724137931
107,ELFN1,ITGA8,0.7928571428571429,0.896551724137931
108,ALDOB,PRPF38A,0.7928571428571429,0.896551724137931
109,ALDOB,MCEE,0.7928571428571429,0.896551724137931
110,RABIF,SLC2A2,0.7928571428571429,0.896551724137931
111,TDG,PPP1R1A,0.7928571428571429,0.896551724137931
112,ALDOB,MRPS28,0.7928571428571429,0.896551724137931
113,GPR19,SLC2A2,0.7928571428571429,0.896551724137931
114,ELFN1,ENHO,0.7928571428571429,0.896551724137931
115,PHACTR1,TMEM37,0.7928571428571429,0.896551724137931
116,SLC26A4,SYNGR4,0.7952380952380953,0.896551724137931
117,AVEN,SLC2A2,0.7928571428571429,0.896551724137931
118,ELFN1,TTC23,0.7952380952380953,0.896551724137931
119,SLC26A4,STXBP5L,0.7952380952380953,0.896551724137931
120,SLC26A4,FAM174A,0.7952380952380953,0.896551724137931
121,ELFN1,SHF,0.7952380952380953,0.896551724137931
122,SLC26A4,SYN1,0.7952380952380953,0.896551724137931
123,ANKRD65,ASCL2,0.7928571428571429,0.896551724137931
124,SLC26A4,KCNG3,0.7928571428571429,0.896551724137931
125,SLC8A3,SLC2A2,0.7928571428571429,0.896551724137931
126,PCOLCE2,FAR2,0.7928571428571429,0.896551724137931
127,ELFN1,ZNF780A,0.7547619047619047,0.8793103448275862
128,COQ5,TMEM37,0.7547619047619047,0.8793103448275862
129,INO80E,ASCL2,0.7547619047619047,0.8793103448275862
130,DONSON,ASCL2,0.7547619047619047,0.8793103448275862
131,WWOX,ASCL2,0.7547619047619047,0.8793103448275862
132,EIF5A,ASCL2,0.7547619047619047,0.8793103448275862
133,FAIM2,MIR4315-2,0.7547619047619047,0.8793103448275862
134,PCYOX1,ARG2,0.7547619047619047,0.8793103448275862
135,TTLL2,GABRA2,0.7547619047619047,0.8793103448275862
136,FAIM2,PLEKHM1P1,0.7547619047619047,0.8793103448275862
137,PCOLCE2,EIF1B-AS1,0.7571428571428571,0.8793103448275862
138,ELFN1,ELK2AP,0.7547619047619047,0.8793103448275862
139,SC5D,ARG2,0.7547619047619047,0.8793103448275862
140,ELFN1,LOC100505715,0.7547619047619047,0.8793103448275862
141,ELFN1,AGAP2,0.7547619047619047,0.8793103448275862
142,ALDOB,CTNNBL1,0.7571428571428571,0.8793103448275862
143,FAIM2,SLC25A19,0.7571428571428571,0.8793103448275862
144,RFX3,ARG2,0.7571428571428571,0.8793103448275862
145,CT69,GABRA2,0.7571428571428571,0.8793103448275862
146,PARP10,ASCL2,0.7547619047619047,0.8793103448275862
147,PRIMA1,CDIPTOSP,0.7571428571428571,0.8793103448275862
148,TSPAN17,TMEM37,0.7571428571428571,0.8793103448275862
149,ALDOB,LAMTOR3,0.7547619047619047,0.8793103448275862
150,ELFN1,LIMS2,0.7547619047619047,0.8793103448275862
151,PCOLCE2,DDX59-AS1,0.7547619047619047,0.8793103448275862
152,GPHN,TMEM37,0.7547619047619047,0.8793103448275862
153,MEGF8,ASCL2,0.7547619047619047,0.8793103448275862
154,PRIMA1,CTNNA3,0.7571428571428571,0.8793103448275862
155,PRIMA1,PIH1D2,0.7547619047619047,0.8793103448275862
156,FAIM2,ZSWIM1,0.7547619047619047,0.8793103448275862
157,ATG14,ARG2,0.7547619047619047,0.8793103448275862
158,CDC14B,ARG2,0.7547619047619047,0.8793103448275862
159,FAIM2,TEN1,0.7547619047619047,0.8793103448275862
160,ELFN1,SPI1,0.7547619047619047,0.8793103448275862
161,ELFN1,RASGRP2,0.7547619047619047,0.8793103448275862
162,ELFN1,FAAP24,0.7547619047619047,0.8793103448275862
163,ALDOB,CMAS,0.7547619047619047,0.8793103448275862
164,PRIMA1,TTC23,0.7547619047619047,0.8793103448275862
165,FAIM2,MIR4315-1,0.7547619047619047,0.8793103448275862
166,FAIM2,MIR6080,0.7547619047619047,0.8793103448275862
167,PRIMA1,PAXIP1-AS2,0.7547619047619047,0.8793103448275862
168,NHLH2,PDX1,0.7547619047619047,0.8793103448275862
169,ELFN1,AK8,0.7547619047619047,0.8793103448275862
170,MSRA,SLC2A2,0.7547619047619047,0.8793103448275862
171,FAIM2,ATAD3C,0.7547619047619047,0.8793103448275862
172,FRMD4A,SLC2A2,0.7547619047619047,0.8793103448275862
173,LOC155060,ASCL2,0.7571428571428571,0.8793103448275862
174,NAF1,ASCL2,0.7571428571428571,0.8793103448275862
175,FAIM2,ZNF428,0.7571428571428571,0.8793103448275862
176,LOC101929479,ASCL2,0.7571428571428571,0.8793103448275862
177,ZMYND19,ASCL2,0.7571428571428571,0.8793103448275862
178,FAIM2,ADISSP,0.7571428571428571,0.8793103448275862
179,ALDOB,EDEM2,0.7571428571428571,0.8793103448275862
180,NT5DC2,ASCL2,0.7571428571428571,0.8793103448275862
181,ELFN1,UFSP1,0.7571428571428571,0.8793103448275862
182,ELFN1,WDHD1,0.7571428571428571,0.8793103448275862
183,ALDOB,MAIP1,0.7571428571428571,0.8793103448275862
184,DNAH1,ASCL2,0.7571428571428571,0.8793103448275862
185,PRKAR2A,ARG2,0.7571428571428571,0.8793103448275862
186,ALDOB,IQCK,0.7571428571428571,0.8793103448275862
187,ALDOB,DFFA,0.7571428571428571,0.8793103448275862
188,SIGLEC16,GABRA2,0.7571428571428571,0.8793103448275862
189,KCNAB2,SLC2A2,0.7571428571428571,0.8793103448275862
190,ELFN1,SOCS2-AS1,0.7571428571428571,0.8793103448275862
191,ZMAT1,ARG2,0.7571428571428571,0.8793103448275862
192,FAIM2,LOC101928160,0.7571428571428571,0.8793103448275862
193,LOC727751,ASCL2,0.7571428571428571,0.8793103448275862
194,SEMA6A,ARG2,0.7571428571428571,0.8793103448275862
195,FAIM2,ZNF707,0.7571428571428571,0.8793103448275862
196,ELFN1,GRIN2D,0.7547619047619047,0.8793103448275862
197,IRF8,SLC2A2,0.7571428571428571,0.8793103448275862
198,ALDOB,SYNJ1,0.7571428571428571,0.8793103448275862
199,FAIM2,FBXO46,0.7571428571428571,0.8793103448275862
200,ADAMTS17,CAPN12,0.7571428571428571,0.8793103448275862
201,ALDOB,PLAA,0.7571428571428571,0.8793103448275862
202,PMS2P8,ASCL2,0.7571428571428571,0.8793103448275862
203,AGO4,TMEM37,0.7571428571428571,0.8793103448275862
204,ALDOB,PIP5K1C,0.7571428571428571,0.8793103448275862
205,RALGAPA1P1,ARG2,0.7571428571428571,0.8793103448275862
206,ELFN1,HCN4,0.7571428571428571,0.8793103448275862
207,OR7C2,GABRA2,0.7571428571428571,0.8793103448275862
208,MAP7D2,ARG2,0.7571428571428571,0.8793103448275862
209,DENND6A,ARG2,0.7571428571428571,0.8793103448275862
210,FBLL1,ASCL2,0.7571428571428571,0.8793103448275862
211,ELFN1,ZNF214,0.7571428571428571,0.8793103448275862
212,ELFN1,SCT,0.7571428571428571,0.8793103448275862
213,ALDOB,CUTC,0.7571428571428571,0.8793103448275862
214,CHRM1,GABRA2,0.7571428571428571,0.8793103448275862
215,ALDOB,LANCL2,0.7571428571428571,0.8793103448275862
216,CLGN,ARG2,0.7571428571428571,0.8793103448275862
217,ELFN1,PILRA,0.7571428571428571,0.8793103448275862
218,SPAG9,ARG2,0.7571428571428571,0.8793103448275862
219,ALDOB,C6orf120,0.7571428571428571,0.8793103448275862
220,TAPT1,ARG2,0.7571428571428571,0.8793103448275862
221,MRPL24,TMEM37,0.7547619047619047,0.8793103448275862
222,JPT2,ARG2,0.7523809523809524,0.8793103448275862
223,PRIMA1,ZNF354B,0.7547619047619047,0.8793103448275862
224,LINC02837,GABRA2,0.7547619047619047,0.8793103448275862
225,PRR7-AS1,GABRA2,0.7523809523809524,0.8793103448275862
226,PRPF40B,ASCL2,0.7523809523809524,0.8793103448275862
227,SCFD1,ARG2,0.7523809523809524,0.8793103448275862
228,FAIM2,SLC22A31,0.7523809523809524,0.8793103448275862
229,ELFN1,SCRT1,0.7523809523809524,0.8793103448275862
230,MOCS2,ARG2,0.7523809523809524,0.8793103448275862
231,ELFN1,APOA4,0.7523809523809524,0.8793103448275862
232,FAIM2,ZBED1,0.7571428571428571,0.8793103448275862
233,ATXN7L3-AS1,ASCL2,0.7523809523809524,0.8793103448275862
234,ALDOB,DCAF7,0.7523809523809524,0.8793103448275862
235,ARHGAP18,ARG2,0.7523809523809524,0.8793103448275862
236,MTRFR,ASCL2,0.7523809523809524,0.8793103448275862
237,SV2B,SLC2A2,0.7523809523809524,0.8793103448275862
238,PCOLCE2,ADGRG4,0.7523809523809524,0.8793103448275862
239,ELFN1,JPH2,0.7523809523809524,0.8793103448275862
240,VDAC1,ARG2,0.7523809523809524,0.8793103448275862
241,CACFD1,ASCL2,0.7523809523809524,0.8793103448275862
242,DKK3,ARG2,0.7523809523809524,0.8793103448275862
243,PRIMA1,MAP4K2,0.7523809523809524,0.8793103448275862
244,ELFN1,TLCD3B,0.7523809523809524,0.8793103448275862
245,ALDOB,SMYD2,0.7523809523809524,0.8793103448275862
246,PRDM15,ASCL2,0.7523809523809524,0.8793103448275862
247,PRIMA1,CLDN9,0.7523809523809524,0.8793103448275862
248,ICE1,ARG2,0.7523809523809524,0.8793103448275862
249,GNA13,ARG2,0.75,0.8793103448275862
250,PHC3,ARG2,0.75,0.8793103448275862
251,PRIMA1,LHX5,0.75,0.8793103448275862
252,LEMD3,ARG2,0.75,0.8793103448275862
253,UBQLN1,ARG2,0.75,0.8793103448275862
254,NUP50,ARG2,0.75,0.8793103448275862
255,EPC1,ARG2,0.75,0.8793103448275862
256,RC3H2,ARG2,0.75,0.8793103448275862
257,TCEAL4,ARG2,0.75,0.8793103448275862
258,PRIMA1,FCHO1,0.75,0.8793103448275862
259,PAK3,ARG2,0.75,0.8793103448275862
260,ZER1,ASCL2,0.7523809523809524,0.8793103448275862
261,SPATA18,TMEM37,0.75,0.8793103448275862
262,PRIMA1,DYRK3,0.75,0.8793103448275862
263,PRIMA1,STPG3-AS1,0.75,0.8793103448275862
264,ZNF322,ARG2,0.75,0.8793103448275862
265,C2orf69,ARG2,0.75,0.8793103448275862
266,PRIMA1,CARMIL2,0.75,0.8793103448275862
267,TWF1,ARG2,0.7523809523809524,0.8793103448275862
268,PRIMA1,ZIK1,0.7523809523809524,0.8793103448275862
269,ELFN1,LDB3,0.7523809523809524,0.8793103448275862
270,ALDOB,ASAH2B,0.7523809523809524,0.8793103448275862
271,ELFN1,SLC45A2,0.7523809523809524,0.8793103448275862
272,PTPN23,ASCL2,0.7523809523809524,0.8793103448275862
273,ELFN1,GP9,0.7547619047619047,0.8793103448275862
274,PRIMA1,HIGD1B,0.7547619047619047,0.8793103448275862
275,ATPAF1,ARG2,0.7547619047619047,0.8793103448275862
276,ANKRD18A,ASCL2,0.7547619047619047,0.8793103448275862
277,FAIM2,AGBL5,0.7547619047619047,0.8793103448275862
278,FAIM2,ZMAT5,0.7547619047619047,0.8793103448275862
279,ST8SIA3,ARG2,0.7547619047619047,0.8793103448275862
280,BTBD9,SLC2A2,0.7547619047619047,0.8793103448275862
281,DAOA,GABRA2,0.7547619047619047,0.8793103448275862
282,FAIM2,GPT,0.7547619047619047,0.8793103448275862
283,ALDOB,ATXN2,0.7547619047619047,0.8793103448275862
284,ADAMTS17,CTSV,0.7547619047619047,0.8793103448275862
285,AASDHPPT,ARG2,0.7547619047619047,0.8793103448275862
286,ALDOB,CDK6,0.7547619047619047,0.8793103448275862
287,ALDOB,SCRN3,0.7547619047619047,0.8793103448275862
288,PRIMA1,ALKBH4,0.7547619047619047,0.8793103448275862
289,ALDOB,HMG20A,0.7547619047619047,0.8793103448275862
290,ALDOB,ARL14EP,0.7547619047619047,0.8793103448275862
291,LINC00327,RASSF10,0.7547619047619047,0.8793103448275862
292,ALDOB,RAB9A,0.7547619047619047,0.8793103448275862
293,ALDOB,ATRN,0.7547619047619047,0.8793103448275862
294,PRIMA1,SPATA24,0.7547619047619047,0.8793103448275862
295,CALML4,ASCL2,0.7547619047619047,0.8793103448275862
296,C11orf68,ASCL2,0.7523809523809524,0.8793103448275862
297,FAIM2,CIB2,0.7523809523809524,0.8793103448275862
298,CHIC1,ARG2,0.7523809523809524,0.8793103448275862
299,MAP2K1,CLTRN,0.7523809523809524,0.8793103448275862
300,HTATSF1,ARG2,0.7523809523809524,0.8793103448275862
301,ASIC1,HCN4,0.7523809523809524,0.8793103448275862
302,ELFN1,ZDHHC1,0.7523809523809524,0.8793103448275862
303,SAMD5,ARG2,0.7523809523809524,0.8793103448275862
304,FMN1,TAFA4,0.7523809523809524,0.8793103448275862
305,NBEA,ARG2,0.7523809523809524,0.8793103448275862
306,STAG2,ARG2,0.7523809523809524,0.8793103448275862
307,PRIMA1,MCM2,0.7523809523809524,0.8793103448275862
308,FAIM2,ARMC6,0.7547619047619047,0.8793103448275862
309,PRIMA1,GABRA1,0.7523809523809524,0.8793103448275862
310,OR4M2-OT1,GABRA2,0.7523809523809524,0.8793103448275862
311,LINC02203,GABRA2,0.7523809523809524,0.8793103448275862
312,VPS36,CLTRN,0.7523809523809524,0.8793103448275862
313,EEF2K,ASCL2,0.7523809523809524,0.8793103448275862
314,ELFN1,LOH12CR2,0.7547619047619047,0.8793103448275862
315,ALDOB,ANKIB1,0.7547619047619047,0.8793103448275862
316,NIPSNAP2,ARG2,0.7547619047619047,0.8793103448275862
317,PRIMA1,TRIM62,0.7547619047619047,0.8793103448275862
318,ELFN1,CNTLN,0.7571428571428571,0.8793103448275862
319,ALDOB,PDE12,0.7547619047619047,0.8793103448275862
320,FAIM2,CCNF,0.7571428571428571,0.8793103448275862
321,LDAH,SLC2A2,0.761904761904762,0.8793103448275862
322,ELFN1,ZNF426,0.761904761904762,0.8793103448275862
323,ELFN1,PABPC4L,0.761904761904762,0.8793103448275862
324,ELFN1,TRAF3IP3,0.761904761904762,0.8793103448275862
325,MAPK8IP3,ASCL2,0.761904761904762,0.8793103448275862
326,UBAC2-AS1,GRIN2D,0.761904761904762,0.8793103448275862
327,CAPS,TMEM37,0.761904761904762,0.8793103448275862
328,ELFN1,CLEC3B,0.761904761904762,0.8793103448275862
329,TRIM26,ASCL2,0.761904761904762,0.8793103448275862
330,SH2D1B,GABRA2,0.761904761904762,0.8793103448275862
331,SLC26A4,NAPA,0.761904761904762,0.8793103448275862
332,CNIH3,ASCL2,0.761904761904762,0.8793103448275862
333,ELFN1,CD6,0.761904761904762,0.8793103448275862
334,SLC35C2,TMEM37,0.761904761904762,0.8793103448275862
335,ELFN1,ADAP2,0.761904761904762,0.8793103448275862
336,RAB15,TMEM37,0.761904761904762,0.8793103448275862
337,PNPLA6,ASCL2,0.761904761904762,0.8793103448275862
338,PCOLCE2,AKAP3,0.761904761904762,0.8793103448275862
339,FAM200A,SLC2A2,0.761904761904762,0.8793103448275862
340,SLC26A4,ZKSCAN2,0.761904761904762,0.8793103448275862
341,TCP10L3,GABRA2,0.761904761904762,0.8793103448275862
342,PCOLCE2,PCNX3,0.761904761904762,0.8793103448275862
343,PARAIL,GRIN2D,0.7595238095238096,0.8793103448275862
344,TMEM120B,ACRBP,0.7595238095238096,0.8793103448275862
345,ALDOB,CEP68,0.7595238095238096,0.8793103448275862
346,SLC26A4,RMND1,0.7595238095238096,0.8793103448275862
347,RAPGEF1,ASCL2,0.7595238095238096,0.8793103448275862
348,PRIM2,SLC2A2,0.7595238095238096,0.8793103448275862
349,ZWILCH,ASCL2,0.7595238095238096,0.8793103448275862
350,ALDOB,RXYLT1,0.7595238095238096,0.8793103448275862
351,ELFN1,SNORD88C,0.7595238095238096,0.8793103448275862
352,ALDOB,MFAP3,0.7595238095238096,0.8793103448275862
353,ALDOB,PRR13,0.7595238095238096,0.8793103448275862
354,MARCHF2,TMEM37,0.7595238095238096,0.8793103448275862
355,PPP3CB-AS1,SLC2A2,0.7595238095238096,0.8793103448275862
356,GPR173,ASCL2,0.7595238095238096,0.8793103448275862
357,ALDOB,ORC4,0.7595238095238096,0.8793103448275862
358,PCOLCE2,ARMH4,0.7595238095238096,0.8793103448275862
359,ELFN1,C19orf48P,0.7595238095238096,0.8793103448275862
360,ALDOB,IMP3,0.7595238095238096,0.8793103448275862
361,ELFN1,MAP3K9-DT,0.7595238095238096,0.8793103448275862
362,SLC26A4,VAT1L,0.7595238095238096,0.8793103448275862
363,FAIM2,ABT1,0.7595238095238096,0.8793103448275862
364,ALDOB,TXNDC11,0.7595238095238096,0.8793103448275862
365,ZNF326,TMEM37,0.7595238095238096,0.8793103448275862
366,EFNA1,ASCL2,0.7595238095238096,0.8793103448275862
367,STXBP4,SLC2A2,0.761904761904762,0.8793103448275862
368,PCOLCE2,ABLIM3,0.761904761904762,0.8793103448275862
369,CYTH1,ASCL2,0.7595238095238096,0.8793103448275862
370,FKTN,SLC2A2,0.761904761904762,0.8793103448275862
371,FAM217A,GABRA2,0.7642857142857143,0.8793103448275862
372,PLEKHG3,ASCL2,0.7642857142857143,0.8793103448275862
373,SLC26A4,PTGDR2,0.7642857142857143,0.8793103448275862
374,ELFN1,MMP14,0.7642857142857143,0.8793103448275862
375,PCOLCE2,CENPN,0.7642857142857143,0.8793103448275862
376,ELFN1,CFLAR-AS1,0.7642857142857143,0.8793103448275862
377,SLC26A4,GOLT1A,0.7642857142857143,0.8793103448275862
378,UBE2Q2P16,TMEM37,0.7642857142857143,0.8793103448275862
379,LOC100505782,GABRA2,0.7642857142857143,0.8793103448275862
380,ATG4B,ASCL2,0.7642857142857143,0.8793103448275862
381,ELFN1,SOX15,0.7642857142857143,0.8793103448275862
382,ELFN1,ARHGAP31,0.7642857142857143,0.8793103448275862
383,SLC26A4,TMEM37,0.7642857142857143,0.8793103448275862
384,SLC26A4,ENDOD1,0.7642857142857143,0.8793103448275862
385,MELK,GABRA2,0.7642857142857143,0.8793103448275862
386,DMPK,ASCL2,0.7642857142857143,0.8793103448275862
387,C1orf53,SLC2A2,0.7666666666666667,0.8793103448275862
388,SYTL1,ASCL2,0.7666666666666667,0.8793103448275862
389,NPIPB8,SLC2A2,0.7666666666666667,0.8793103448275862
390,ALDOB,NEU1,0.7571428571428571,0.8793103448275862
391,ACAP3,ASCL2,0.7666666666666667,0.8793103448275862
392,SIN3B,ASCL2,0.7642857142857143,0.8793103448275862
393,BBS9,TMEM37,0.7642857142857143,0.8793103448275862
394,SLC26A4,C7orf25,0.7642857142857143,0.8793103448275862
395,WDR5B,TMEM37,0.761904761904762,0.8793103448275862
396,IRF3,ASCL2,0.761904761904762,0.8793103448275862
397,SPEG,ASCL2,0.761904761904762,0.8793103448275862
398,SLC26A4,VPS26B,0.761904761904762,0.8793103448275862
399,SPEGNB,ASCL2,0.761904761904762,0.8793103448275862
400,ELFN1,HVCN1,0.761904761904762,0.8793103448275862
401,SLC26A4,GPD1,0.761904761904762,0.8793103448275862
402,LOC400622,GABRA2,0.761904761904762,0.8793103448275862
403,NEK4,TMEM37,0.761904761904762,0.8793103448275862
404,SLC26A4,ENOX2,0.761904761904762,0.8793103448275862
405,LINC00587,GABRA2,0.761904761904762,0.8793103448275862
406,ELFN1,MMEL1,0.7642857142857143,0.8793103448275862
407,PLCB3,ASCL2,0.761904761904762,0.8793103448275862
408,UBXN2A,TMEM37,0.761904761904762,0.8793103448275862
409,ELFN1,KBTBD8,0.761904761904762,0.8793103448275862
410,ELFN1,DYRK3,0.761904761904762,0.8793103448275862
411,FAIM2,ZNF304,0.761904761904762,0.8793103448275862
412,ZNF793,SLC2A2,0.761904761904762,0.8793103448275862
413,SLC26A4,CTNNA2,0.761904761904762,0.8793103448275862
414,ELFN1,ZNF792,0.7642857142857143,0.8793103448275862
415,SLC26A4,MCUB,0.7642857142857143,0.8793103448275862
416,NDOR1,ASCL2,0.7595238095238096,0.8793103448275862
417,FBXL16,ARG2,0.7642857142857143,0.8793103448275862
418,RTN2,ASCL2,0.7595238095238096,0.8793103448275862
419,ALDOB,MMUT,0.7595238095238096,0.8793103448275862
420,CNTFR-AS1,GABRA2,0.7571428571428571,0.8793103448275862
421,ALDOB,PSMD12,0.7571428571428571,0.8793103448275862
422,PLAAT1,SLC2A2,0.7571428571428571,0.8793103448275862
423,MR1,SLC2A2,0.7571428571428571,0.8793103448275862
424,ALDOB,VPS35L,0.7595238095238096,0.8793103448275862
425,ELFN1,TMCO1-AS1,0.7595238095238096,0.8793103448275862
426,OTC,GABRA2,0.7595238095238096,0.8793103448275862
427,ELFN1,SGCD,0.7595238095238096,0.8793103448275862
428,ALDOB,PA2G4,0.7595238095238096,0.8793103448275862
429,ALKBH3-AS1,GABRA2,0.7595238095238096,0.8793103448275862
430,ALDOB,MCCC2,0.7595238095238096,0.8793103448275862
431,ZGPAT,ASCL2,0.7595238095238096,0.8793103448275862
432,ALDOB,PRKRA,0.7595238095238096,0.8793103448275862
433,ALDOB,METAP2,0.7595238095238096,0.8793103448275862
434,PTOV1-AS2,ASCL2,0.7595238095238096,0.8793103448275862
435,ALDOB,KIFAP3,0.7595238095238096,0.8793103448275862
436,IL5,GABRA2,0.7595238095238096,0.8793103448275862
437,RAB40C,TMEM37,0.7595238095238096,0.8793103448275862
